-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
-,-,-,-,2,x,x,2,x,x,-,-,-,-,-,-,-,-,-,
-,-,-,-, , ,x, , ,x,-,-,-,-,-,-,-,-,-,
-,-,-,-, , , , , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , ,x, , ,x,-,-,-,-,-,-,-,-,-,
-,-,-, , , ,x, , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , ,x, , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , ,x, , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-,-, , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , ,x, , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , ,x, , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , ,x, , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , , , , ,-,-,-,-,-,-,-,-,-,
-,-, , , , , , , , ,-,-,-,-,-,-,-,-,-,
-, , , , , , , , , ,-,-,-,-,-,-,-,-,-,
-, , , , , , ,x, , ,-,-,-,-,-,-,-,-,-,
-, , , , , , , , , ,-,-,-,-,-,-,-,-,-,
-, , , , , , , , , ,-,-,-,-,-,-,-,-,-,
-, , , , , , ,x, , ,-,-,-,-,-,-,-,-,-,
-, , , , , , , , , ,-,-,-,-,-,-,-,-,-,
-, , , , , , , ,x, ,-,-,-,-,-,-,-,-,-,
-, , , , , , , , , , ,-,-,-,-,-,-,-,-,
-, , , , , , , , , , , , , , , , ,3,-,
-, , , , , , , , , ,x, , , , , , ,3,-,
-,-, , , , , , , , , , , , , , , ,3,-,
-,-,-, , , , , , , , , ,x, , , , ,3,-,
-,-,-, , , , , , , , , , , ,x, , ,3,-,
-,-,-,-, , , , , , , , , , , , , ,3,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
